1.000000000000000000e+00 2.960581726690887905e+01
2.000000000000000000e+00 4.128700515338627497e+01
3.000000000000000000e+00 4.286400500736726116e+01
4.000000000000000000e+00 4.347402889875414189e+01
5.000000000000000000e+00 4.659020901159797745e+01
6.000000000000000000e+00 4.732008089093999104e+01
7.000000000000000000e+00 4.872669053744661483e+01
8.000000000000000000e+00 5.050818642723385210e+01
9.000000000000000000e+00 5.380681170823662285e+01
1.000000000000000000e+01 5.543306651896062931e+01
1.100000000000000000e+01 6.049255776021244912e+01
1.200000000000000000e+01 7.010282668607931100e+01
1.300000000000000000e+01 8.135336958118915618e+01
1.400000000000000000e+01 9.050546694900941702e+01
1.500000000000000000e+01 9.951380991524987962e+01
1.600000000000000000e+01 1.105794617838483305e+02
1.700000000000000000e+01 1.243942541413184131e+02
1.800000000000000000e+01 1.713742688339672213e+02
1.900000000000000000e+01 1.813742211701496387e+02
2.000000000000000000e+01 2.048436873377279426e+02
